Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
A,"Agilent Technologies",+36.26,156.41,-1.24,-0.79%,179.57,105.19,+41.75%,2021-11-05
AAL,"American Airlines Gp",+58.22,21.82,1.19,+5.77%,26.09,11.27,+88.10%,2021-11-05
AAP,"Advance Auto Parts Inc",+49.26,229.73,-0.36,-0.16%,235.32,142.59,+46.86%,2021-11-05
AAPL,"Apple Inc",+26.96,151.28,0.32,+0.21%,157.26,112.59,+27.09%,2021-11-05
ABBV,"Abbvie Inc",+16.67,117.18,0.12,+0.10%,121.53,91.71,+25.07%,2021-11-05
ABC,"Amerisourcebergen Corp",+20.42,127.57,0.79,+0.62%,129.54,94.89,+21.01%,2021-11-05
ABMD,"Abiomed Inc",+31.55,361.71,-1.36,-0.37%,387.4,254.41,+32.79%,2021-11-05
ABT,"Abbott Laboratories",+10.20,124.37,-4.72,-3.66%,129.7,105.32,+9.55%,2021-11-05
ACN,"Accenture Plc",+55.55,368.46,1.66,+0.45%,372.11,231.07,+57.47%,2021-11-05
ADBE,"Adobe Systems Inc",+44.36,662.72,-11.36,-1.69%,677.76,420.78,+33.49%,2021-11-05
ADI,"Analog Devices",+34.71,184.18,3.45,+1.91%,186.1,130,+41.24%,2021-11-05
ADM,"Archer Daniels Midland",+26.54,64.49,0.26,+0.40%,69.3,47.75,+34.61%,2021-11-05
ADP,"Automatic Data Procs",+37.19,229.6,3.41,+1.51%,230.12,159.31,+41.11%,2021-11-05
ADSK,"Autodesk Inc",+27.81,324.52,5.55,+1.74%,344.39,244.3,+26.81%,2021-11-05
AEE,"Ameren Corp",+6.07,85.5,1.13,+1.34%,90.77,69.79,+3.67%,2021-11-05
AEP,"American Electric Power Company",-3.43,85.04,1.15,+1.37%,94.21,74.8,-6.25%,2021-11-05
AES,"The Aes Corp",+13.38,24.99,-0.13,-0.52%,29.07,20.27,+19.17%,2021-11-05
AFL,"Aflac Inc",+31.25,56.75,1.05,+1.89%,57.66,36.65,+52.55%,2021-11-05
AIG,"American International Group",+56.60,58.96,-1.43,-2.37%,62.54,32.76,+76.37%,2021-11-05
AIZ,"Assurant Inc",+20.17,162.54,-1.69,-1.03%,172.22,121.55,+27.62%,2021-11-05
AJG,"Arthur J. Gallagher & Company",+38.86,160.26,-0.52,-0.32%,168.5,109.75,+46.00%,2021-11-05
AKAM,"Akamai Technologies",+2.74,107.29,-2.37,-2.16%,124.91,92.64,+4.46%,2021-11-05
ALB,"Albemarle Corp",+121.89,272.51,-0.15,-0.06%,276,102.8,+158.30%,2021-11-05
ALGN,"Align Technology",+44.11,687.19,7.93,+1.17%,737.45,439.71,+39.70%,2021-11-05
ALK,"Alaska Air Group",+21.01,59.35,3.62,+6.50%,74.25,37.76,+51.48%,2021-11-05
ALL,"Allstate Corp",+10.50,117.16,0.06,+0.05%,140,90.42,+29.59%,2021-11-05
ALLE,"Allegion Plc",+11.33,131.41,0.33,+0.25%,148.7,102.47,+26.20%,2021-11-05
AMAT,"Applied Materials",+93.50,153.29,3.16,+2.10%,153.73,68.35,+119.14%,2021-11-05
AMCR,"Amcor Plc",+4.12,12.14,-0.02,-0.16%,12.92,10.33,+5.47%,2021-11-05
AMD,"Adv Micro Devices",+83.94,136.34,-1.16,-0.84%,141.22,72.5,+64.27%,2021-11-05
AME,"Amtek Inc",+20.46,140.94,0.54,+0.38%,143.21,106.96,+29.24%,2021-11-05
AMGN,"Amgen Inc",-12.14,213.77,-1.16,-0.54%,276.69,200.47,-7.85%,2021-11-05
AMP,"Ameriprise Financial Services",+64.17,305.24,-1.45,-0.47%,311.18,168.7,+76.76%,2021-11-05
AMT,"American Tower Corp",+15.88,277.83,-1.12,-0.40%,303.72,197.5,+15.80%,2021-11-05
AMZN,"Amazon.com Inc",+12.92,3518.99,41.99,+1.21%,3773.08,2881,+5.93%,2021-11-05
ANET,"Arista Networks Inc",+91.94,530.54,6.68,+1.28%,533.99,254.59,+106.44%,2021-11-05
ANSS,"Ansys Inc",+27.50,406.69,-3.28,-0.80%,413.89,292.79,+23.86%,2021-11-05
ANTM,"Anthem Inc",+30.29,422.06,-0.55,-0.13%,439.9,286.04,+32.06%,2021-11-05
AON,"AON Plc",+39.47,288.53,-1.47,-0.51%,326.25,184.67,+55.64%,2021-11-05
AOS,"Smith A.O. Corp",+41.31,77.55,-0.31,-0.40%,79.62,52.08,+44.09%,2021-11-05
APA,"Apa Corp",+176.96,29.9,0.82,+2.82%,30.34,8.5,+233.33%,2021-11-05
APD,"Air Products and Chemicals",+19.22,309.31,8.1,+2.69%,327.89,245.75,+1.97%,2021-11-05
